noise,seed,model,accuracy
0.3,0,depth,0.16326530612244897
0.3,0,deformation,0.6122448979591837
0.3,0,shear,0.4489795918367347
0.3,0,early_fusion,0.8571428571428571
0.3,0,late_fusion,0.5510204081632653
0.3,0,hybrid_fusion,0.3673469387755102
0.3,1,rawimg,0.20408163265306123
0.3,1,depth,0.16326530612244897
0.3,1,deformation,0.6122448979591837
0.3,1,shear,0.4489795918367347
0.3,1,early_fusion,0.8571428571428571
0.3,1,late_fusion,0.5918367346938775
0.3,1,hybrid_fusion,0.40816326530612246
0.3,2,rawimg,0.20408163265306123
0.3,2,depth,0.16326530612244897
0.3,2,deformation,0.6122448979591837
0.3,2,shear,0.4489795918367347
0.3,2,early_fusion,0.8571428571428571
0.3,2,late_fusion,0.5306122448979592
0.3,2,hybrid_fusion,0.3469387755102041
0.3,3,rawimg,0.1836734693877551
0.3,3,depth,0.16326530612244897
0.3,3,deformation,0.6122448979591837
0.3,3,shear,0.4489795918367347
0.3,3,early_fusion,0.8571428571428571
0.3,3,late_fusion,0.5306122448979592
0.3,3,hybrid_fusion,0.42857142857142855
0.3,4,rawimg,0.1836734693877551
0.3,4,depth,0.16326530612244897
0.3,4,deformation,0.6122448979591837
0.3,4,shear,0.4489795918367347
0.3,4,early_fusion,0.8571428571428571
0.3,4,late_fusion,0.5918367346938775
0.3,4,hybrid_fusion,0.3469387755102041
0.4,0,rawimg,0.16326530612244897
0.4,0,depth,0.16326530612244897
0.4,0,deformation,0.6122448979591837
0.4,0,shear,0.4489795918367347
0.4,0,early_fusion,0.8571428571428571
0.4,0,late_fusion,0.46938775510204084
0.4,0,hybrid_fusion,0.16326530612244897
0.4,1,rawimg,0.16326530612244897
0.4,1,depth,0.16326530612244897
0.4,1,deformation,0.6122448979591837
0.4,1,shear,0.4489795918367347
0.4,1,early_fusion,0.8571428571428571
0.4,1,late_fusion,0.4489795918367347
0.4,1,hybrid_fusion,0.22448979591836735
0.4,2,rawimg,0.16326530612244897
0.4,2,depth,0.16326530612244897
0.4,2,deformation,0.6122448979591837
0.4,2,shear,0.4489795918367347
0.4,2,early_fusion,0.8571428571428571
0.4,2,late_fusion,0.42857142857142855
0.4,2,hybrid_fusion,0.20408163265306123
0.4,3,rawimg,0.16326530612244897
0.4,3,depth,0.16326530612244897
0.4,3,deformation,0.6122448979591837
0.4,3,shear,0.4489795918367347
0.4,3,early_fusion,0.8571428571428571
0.4,3,late_fusion,0.46938775510204084
0.4,3,hybrid_fusion,0.1836734693877551
0.4,4,rawimg,0.16326530612244897
0.4,4,depth,0.16326530612244897
0.4,4,deformation,0.6122448979591837
0.4,4,shear,0.4489795918367347
0.4,4,early_fusion,0.8571428571428571
0.4,4,late_fusion,0.4489795918367347
0.4,4,hybrid_fusion,0.1836734693877551
0.5,0,rawimg,0.16326530612244897
0.5,0,depth,0.16326530612244897
0.5,0,deformation,0.6122448979591837
0.5,0,shear,0.46938775510204084
0.5,0,early_fusion,0.8571428571428571
0.5,0,late_fusion,0.30612244897959184
0.5,0,hybrid_fusion,0.10204081632653061
0.5,1,rawimg,0.16326530612244897
0.5,1,depth,0.16326530612244897
0.5,1,deformation,0.6326530612244898
0.5,1,shear,0.46938775510204084
0.5,1,early_fusion,0.8571428571428571
0.5,1,late_fusion,0.3877551020408163
0.5,1,hybrid_fusion,0.10204081632653061
0.5,2,rawimg,0.16326530612244897
0.5,2,depth,0.16326530612244897
0.5,2,deformation,0.6326530612244898
0.5,2,shear,0.46938775510204084
0.5,2,early_fusion,0.8571428571428571
0.5,2,late_fusion,0.30612244897959184
0.5,2,hybrid_fusion,0.12244897959183673
0.5,3,rawimg,0.16326530612244897
0.5,3,depth,0.16326530612244897
0.5,3,deformation,0.6326530612244898
0.5,3,shear,0.46938775510204084
0.5,3,early_fusion,0.8571428571428571
0.5,3,late_fusion,0.30612244897959184
0.5,3,hybrid_fusion,0.12244897959183673
0.5,4,rawimg,0.16326530612244897
0.5,4,depth,0.16326530612244897
0.5,4,deformation,0.6326530612244898
0.5,4,shear,0.46938775510204084
0.5,4,early_fusion,0.8571428571428571
0.5,4,late_fusion,0.3673469387755102
0.5,4,hybrid_fusion,0.10204081632653061
